Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C14, C16, C17, C3, C4, C5, C6, C7, C8, C9",0402,13,0.1u,C1525 
"C11, C15",0603,2,1u,C15849
"C12, C18, C2",0603,3,10u,C19702
D1,0603,1,RED,C2286
D2,0603,1,WHT/YEL,C2290
D3,SOT-23-6,1,ESDA6V1-5SC6,C6650
FB1,0603,1,150,C14709
J1,CONN16_USB4085-GF-A_GCT,1,USB4085,C7095263
J2,CONN_80DS-0.5V57,1,DF173.0-80DS-0.5V57,C506681
"R1, R2",0603,2,5.1K,C25905
"R10, R12, R14, R15",0402,4,2.2k,C25879
"R11, R13, R16, R17, R18",0402,5,22,C25092
"R19, R20, R21, R3, R4, R5, R6, R9",0402,8,10k,C25744
"R7, R8",0603,2,1k,C21190
SW1,SSSS213202_AAL,1,SSSS213202,C115375
SW2,SW_SPST_TS-1088-xR020,1,SW_Push,C720477
U1,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP9808,C194710
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,LQFP-100_14x14mm_P0.5mm,1,STM32G473VET6,C730122
U4,SOT-23-5,1,TPS7A0533PDBV,C493453
U5,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U6,SOT-583-8,1,TPS2116DRL,C3235557
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ASEK-32.768KHZ,C2650753
Y2,Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm,1,ASDMB-8.000MHZ,C596949
