Designator,Mid X,Mid Y,Rotation,Layer
C1,154.05,-80.92,90.0,top
C10,150.062505,-105.149999,90.0,top
C11,172.825001,-104.149999,180.0,top
C12,158.475,-110.8,180.0,top
C13,158.94,-109.53,180.0,top
C14,165.3325,-109.53,180.0,top
C15,172.825,-109.85,180.0,top
C16,151.0,-115.92,90.0,top
C17,169.765,-116.24,0.0,top
C18,170.175,-115.0,0.0,top
C2,154.7475,-88.85,0.0,top
C3,154.2825,-90.08,0.0,top
C4,147.17,-93.6,0.0,top
C5,170.012501,-94.129998,270.0,top
C6,172.62,-94.3,180.0,top
C7,150.040001,-96.379999,180.0,top
C8,170.012501,-99.629999,270.0,top
C9,147.03,-102.1,0.0,top
D1,166.05,-83.0625,270.0,top
D2,167.55,-83.0625,270.0,top
D3,151.249999,-87.0375,270.0,top
FB1,159.25,-113.062499,90.0,top
J1,160.025007,-81.173916,180.0,top
J2,160.024999,-115.57975,0.0,bottom
R1,167.385,-78.7,0.0,top
R10,164.05,-89.659999,90.0,top
R11,152.053308,-91.984149,270.0,top
R12,170.459999,-95.85,0.0,top
R13,150.040001,-97.380001,0.0,top
R14,170.459999,-97.85,0.0,top
R15,170.459999,-96.85,0.0,top
R16,150.040001,-99.38,0.0,top
R17,169.35,-105.889999,270.0,top
R18,149.540001,-106.7,180.0,top
R19,172.825,-111.105724,180.0,top
R2,167.375,-80.2,0.0,top
R20,172.825,-112.140001,180.0,top
R21,172.825,-113.140001,0.0,top
R3,151.15,-83.39,90.0,top
R4,150.15,-83.39,90.0,top
R5,152.149999,-83.41,90.0,top
R6,153.15,-83.390001,270.0,top
R7,166.05,-86.025,270.0,top
R8,167.55,-86.025,270.0,top
R9,156.75,-89.859999,90.0,top
SW1,171.5851,-87.72765,0.0,top
SW2,173.15,-97.825,90.0,top
U1,152.3,-80.05,180.0,top
U2,160.05,-87.0375,270.0,top
U3,160.05,-99.88,270.0,top
U4,172.883117,-107.005725,270.0,top
U5,148.035,-112.0625,180.0,top
U6,169.8625,-112.9,270.0,top
Y1,147.15,-96.280001,270.0,top
Y2,147.4,-100.155,0.0,top
